first_name,last_name,position,age,college,draft_ranking
Travis,Hunter,CB,21,Colorado,1
Abdul,Carter,DE,21,Penn State,2
Ashton,Jeanty,RB,21,Boise State,3
Mason,Graham,DT,21,Michigan,4
Will,Campbell,OT,21,LSU,5
Jalon,Walker,DE,20,Georgia,6
Colston,Loveland,TE,20,Michigan,7
Tyler,Warren,TE,22,Penn State,8
Cam,Ward,QB,22,Miami,9
Jihaad,Campbell,LB,21,Alabama,10
Jahdae,Barron,CB,23,Texas,11
Armand,Membou,OT,21,Missouri,12
Emeka,Egbuka,WR,22,Ohio State,13
Omarion,Hampton,RB,22,North Carolina,14
Will,Johnson,CB,22,Michigan,15
Josh,Simmons,OT,22,Ohio State,16
Nick,Emmanwori,S,21,South Carolina,17
Matthew,Golden,WR,21,Texas,18
Tetairoa,McMillan,WR,21,Arizona,19
Tyler,Booker,OG,20,Alabama,20
Mike,Green,DE,22,Marshall,21
Mykel,Williams,DE,20,Georgia,22
Derrick,Harmon,DT,21,Oregon,23
Azareye'h,Thomas,CB,20,Florida State,24
Luther,Burden,WR,21,Missouri,25
Grey,Zabel,OG,23,North Dakota State,26
Donovan,Ezeiruaku,DE,21,Boston College,27
James,Pearce,DE,21,Tennessee,28
Shemar,Stewart,DE,21,Texas A&M,29
Walter,Nolen,DT,21,Mississippi,30
Malaki,Starks,S,21,Georgia,31
Trey,Amos,CB,23,Mississippi,32
Shedeur,Sanders,QB,23,Colorado,33
Kenneth,Grant,DT,21,Michigan,34
Kelvin,Banks,OT,21,Texas,35
TreVeyon,Henderson,RB,22,Ohio State,36
Maxwell,Hairston,CB,21,Kentucky,37
Jaxson,Dart,QB,21,Mississippi,38
Quinshon,Judkins,RB,21,Ohio State,39
Josh,Conerly,OT,21,Oregon,40
Benjamin,Morrison,CB,21,Notre Dame,41
Donovan,Jackson,OG,22,Ohio State,42
Mason,Taylor,TE,20,LSU,43
Carson,Schwesinger,LB,21,UCLA,44
Kaleb,Johnson,RB,21,Iowa,45
Landon,Jackson,DE,22,Arkansas,46
Darius,Alexander,DT,24,Toledo,47
Marcus,Mbow,OT,22,Purdue,48
Nic,Scourton,DE,20,Texas A&M,49
Elijah,Arroyo,TE,21,Miami,50